"Country or Area","Year","Value"
"France","2005","34969.4545439778"
"France","2004","35285.6619646428"
"France","2003","36607.0594590953"
"France","2002","38382.0366291159"
"France","2001","40765.6758211034"
"France","2000","41082.7014586084"
"France","1999","41963.9923326225"
"France","1998","47253.6415425208"
"France","1997","53204.4494728919"
"France","1996","53226.5812444112"
"France","1995","51805.2231454183"
"France","1994","50593.702443244"
"France","1993","50952.6842618706"
"France","1992","51950.9725331497"
"France","1991","51455.3678452803"
"France","1990","51257.6613266073"
"Germany","2021","24767.1613218499"
"Germany","2020","24922.3507503489"
"Germany","2019","25668.9449841769"
"Germany","2018","26383.1034135414"
"Germany","2017","27547.8499412995"
"Germany","2016","28018.6378484379"
"Germany","2015","28155.1880201976"
"Germany","2014","28202.4481474381"
"Germany","2013","27717.8985527834"
"Germany","2012","27583.7712173186"
"Germany","2011","27457.7175902811"
"Germany","2010","27448.5385006749"
"Germany","2009","34545.3812411338"
"Germany","2008","34202.5050085898"
"Germany","2007","35331.8059110279"
"Germany","2006","32701.9746391254"
"Germany","2005","33366.9337432968"
"Germany","2004","34809.6725698281"
"Germany","2003","33335.9828204215"
"Germany","2002","33553.1781502564"
"Germany","2001","34300.0436519656"
"Germany","2000","32472.2019139797"
"Germany","1999","32963.0954898851"
"Germany","1998","36438.5074609761"
"Germany","1997","47854.2224782238"
"Germany","1996","50462.4730632334"
"Germany","1995","49110.7418632443"
"Germany","1994","50729.8800405433"
"Germany","1993","49022.0325495255"
"Germany","1992","51576.6203571594"
"Germany","1991","50073.9806892557"
"Germany","1990","51554.3507443964"
"Greece","2021","3817.42955760378"
"Greece","2020","3930.76236035739"
"Greece","2019","3917.47721658462"
"Greece","2018","3926.5795826725"
"Greece","2017","4017.64425827665"
"Greece","2016","3952.86588871554"
"Greece","2015","3904.12878259076"
"Greece","2014","3971.16900926003"
"Greece","2013","4171.65414385537"
"Greece","2012","4441.48579153923"
"Greece","2011","4821.50626341572"
"Greece","2010","5035.28056558855"
"Greece","2009","4860.90519207057"
"Greece","2008","5184.77577410707"
"Greece","2007","5399.05941231213"
"Greece","2006","5311.31104383984"
"Greece","2005","5467.72636266084"
"Greece","2004","5628.87438515655"
"Greece","2003","5624.05884408646"
"Greece","2002","5694.39892166058"
"Greece","2001","5740.05255443137"
"Greece","2000","5867.16545493331"
"Greece","1999","6047.54616633618"
"Greece","1998","6091.66709761391"
"Greece","1997","6166.36125497045"
"Greece","1996","6308.89822552544"
"Greece","1995","6157.0476653509"
"Greece","1994","5973.97332034565"
"Greece","1993","6095.98205602036"
"Greece","1992","6588.64732404418"
"Greece","1991","6736.87441837594"
"Greece","1990","6855.76602483543"
"Hungary","2021","4485.76822757513"
"Hungary","2020","4461.51125523708"
"Hungary","2019","4312.90417836968"
"Hungary","2018","4317.91835066811"
"Hungary","2017","4259.55168566835"
"Hungary","2016","4258.7173544397"
"Hungary","2015","4021.76597444194"
"Hungary","2014","3931.46243939562"
"Hungary","2013","3726.18990399646"
"Hungary","2012","3418.393551458"
"Hungary","2011","3480.19348660157"
"Hungary","2010","3308.87201401939"
"Hungary","2009","3374.55955592447"
"Hungary","2008","3639.2334710491"
"Hungary","2007","4264.1761266927"
"Hungary","2006","4749.05499122063"
"Hungary","2005","4992.02367259919"
"Hungary","2004","5233.93115372528"
"Hungary","2003","4529.31069779616"
"Hungary","2002","4599.77450981901"
"Hungary","2001","5210.87247112059"
"Hungary","2000","4810.75840368241"
"Hungary","1999","4507.01771727241"
"Hungary","1998","4662.54805586114"
"Hungary","1997","4739.11879104984"
"Hungary","1996","4741.85982200896"
"Hungary","1995","4223.53993844146"
"Hungary","1994","4967.55042856954"
"Hungary","1993","4117.92425581563"
"Hungary","1992","3953.46787819644"
"Hungary","1991","5068.27648081894"
"Hungary","1990","7456.41822373715"
"Iceland","2021","248.93753109483"
"Iceland","2020","244.765820756971"
"Iceland","2019","243.553974364232"
"Iceland","2018","255.126044558899"
"Iceland","2017","266.339285497186"
"Iceland","2016","255.93583328384"
"Iceland","2015","258.114056777744"
"Iceland","2014","271.6962609672"
"Iceland","2013","250.600136434476"
"Iceland","2012","256.132868670688"
"Iceland","2011","250.725775726847"
"Iceland","2010","254.389199941181"
"Iceland","2009","264.034385145983"
"Iceland","2008","285.94337469792"
"Iceland","2007","279.650130802499"
"Iceland","2006","269.002217217354"
"Iceland","2005","258.707002055168"
"Iceland","2004","259.440660517607"
"Iceland","2003","256.248496162505"
"Iceland","2002","260.771125221764"
"Iceland","2001","282.652234327072"
"Iceland","2000","286.651685995609"
"Iceland","1999","303.56639534758"
"Iceland","1998","296.567692405107"
"Iceland","1997","296.046359976267"
"Iceland","1996","301.682778329477"
"Iceland","1995","286.928371321408"
"Iceland","1994","290.29045292811"
